Name,SKU,Price,Stock
Product 0001,SKU0001,100000,100
Product 0002,SKU0002,100000,100
Product 0003,SKU0003,100000,100
Product 0004,SKU0004,100000,100
Product 0005,SKU0005,100000,100
Product 0006,SKU0006,100000,100
Product 0007,SKU0007,100000,100
Product 0008,SKU0008,100000,100
Product 0009,SKU0009,100000,100
Product 0010,SKU0010,100000,100
Product 0011,SKU0011,100000,100
Product 0012,SKU0012,100000,100
Product 0013,SKU0013,100000,100
Product 0014,SKU0014,100000,100
Product 0015,SKU0015,100000,100
Product 0016,SKU0016,100000,100
Product 0017,SKU0017,100000,100
Product 0018,SKU0018,100000,100
Product 0019,SKU0019,100000,100
Product 0020,SKU0020,100000,100
Product 0021,SKU0021,100000,100
Product 0022,SKU0022,100000,100
Product 0023,SKU0023,100000,100
Product 0024,SKU0024,100000,100
Product 0025,SKU0025,100000,100
Product 0026,SKU0026,100000,100
Product 0027,SKU0027,100000,100
Product 0028,SKU0028,100000,100
Product 0029,SKU0029,100000,100
Product 0030,SKU0030,100000,100
Product 0031,SKU0031,100000,100
Product 0032,SKU0032,100000,100
Product 0033,SKU0033,100000,100
Product 0034,SKU0034,100000,100
Product 0035,SKU0035,100000,100
Product 0036,SKU0036,100000,100
Product 0037,SKU0037,100000,100
Product 0038,SKU0038,100000,100
Product 0039,SKU0039,100000,100
Product 0040,SKU0040,100000,100
Product 0041,SKU0041,100000,100
Product 0042,SKU0042,100000,100
Product 0043,SKU0043,100000,100
Product 0044,SKU0044,100000,100
Product 0045,SKU0045,100000,100
Product 0046,SKU0046,100000,100
Product 0047,SKU0047,100000,100
Product 0048,SKU0048,100000,100
Product 0049,SKU0049,100000,100
Product 0050,SKU0050,100000,100
Product 0051,SKU0051,100000,100
Product 0052,SKU0052,100000,100
Product 0053,SKU0053,100000,100
Product 0054,SKU0054,100000,100
Product 0055,SKU0055,100000,100
Product 0056,SKU0056,100000,100
Product 0057,SKU0057,100000,100
Product 0058,SKU0058,100000,100
Product 0059,SKU0059,100000,100
Product 0060,SKU0060,100000,100
Product 0061,SKU0061,100000,100
Product 0062,SKU0062,100000,100
Product 0063,SKU0063,100000,100
Product 0064,SKU0064,100000,100
Product 0065,SKU0065,100000,100
Product 0066,SKU0066,100000,100
Product 0067,SKU0067,100000,100
Product 0068,SKU0068,100000,100
Product 0069,SKU0069,100000,100
Product 0070,SKU0070,100000,100
Product 0071,SKU0071,100000,100
Product 0072,SKU0072,100000,100
Product 0073,SKU0073,100000,100
Product 0074,SKU0074,100000,100
Product 0075,SKU0075,100000,100
Product 0076,SKU0076,100000,100
Product 0077,SKU0077,100000,100
Product 0078,SKU0078,100000,100
Product 0079,SKU0079,100000,100
Product 0080,SKU0080,100000,100
Product 0081,SKU0081,100000,100
Product 0082,SKU0082,100000,100
Product 0083,SKU0083,100000,100
Product 0084,SKU0084,100000,100
Product 0085,SKU0085,100000,100
Product 0086,SKU0086,100000,100
Product 0087,SKU0087,100000,100
Product 0088,SKU0088,100000,100
Product 0089,SKU0089,100000,100
Product 0090,SKU0090,100000,100
Product 0091,SKU0091,100000,100
Product 0092,SKU0092,100000,100
Product 0093,SKU0093,100000,100
Product 0094,SKU0094,100000,100
Product 0095,SKU0095,100000,100
Product 0096,SKU0096,100000,100
Product 0097,SKU0097,100000,100
Product 0098,SKU0098,100000,100
Product 0099,SKU0099,100000,100
Product 0100,SKU0100,100000,100
